WIKIDATA,NAME,FLACSWIKI,MS_FB_PARE,MS_FB
Q31179733,부산광역시 금정구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:1
Q31179744,부산광역시 중구영도구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:2
Q31179735,부산광역시 연제구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:3
Q31179776,부산광역시 부산진구을,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:4
Q31179809,부산광역시 남구을,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:5
Q31179722,부산광역시 북구강서구갑,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:6
Q31179726,부산광역시 해운대구을,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:7
Q31179796,부산광역시 서구동구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:8
Q31179799,부산광역시 부산진구갑,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:9
Q31179743,부산광역시 사상구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:10
Q31179725,부산광역시 사하구을,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:11
Q31179803,부산광역시 남구갑,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:12
Q31179769,부산광역시 사하구갑,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:13
Q31179738,부산광역시 수영구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:14
Q31179742,부산광역시 기장군,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:15
Q31179737,부산광역시 동래구,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:16
Q31179784,부산광역시 북구강서구을,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:17
Q31179721,부산광역시 해운대구갑,Q16520,country:kr/met-city:26,country:kr/met-city:26/tmp-ed:18
Q31179336,대전광역시 중구,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:19
Q31179349,대전광역시 동구,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:20
Q31179430,대전광역시 서구갑,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:21
Q31179341,대전광역시 유성구갑,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:22
Q31179329,대전광역시 대덕구,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:23
Q31179394,대전광역시 서구을,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:24
Q31179330,대전광역시 유성구을,Q20921,country:kr/met-city:30,country:kr/met-city:30/tmp-ed:25
Q31179587,대구광역시 수성구갑,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:26
Q31179591,대구광역시 달서구갑,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:27
Q31179626,대구광역시 북구을,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:28
Q31179618,대구광역시 달서구병,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:29
Q31179625,대구광역시 북구갑,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:30
Q31179589,대구광역시 달서구을,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:31
Q31179579,대구광역시 동구갑,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:32
