WIKIDATA,NAME,FLACSWIKI,MS_FB_PARE,MS_FB
Q31179578,대구광역시 동구을,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:33
Q31179594,대구광역시 달성군,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:34
Q31179572,대구광역시 수성구을,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:35
Q31179716,대구광역시 중구남구,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:36
Q31179577,대구광역시 서구,Q20927,country:kr/met-city:27,country:kr/met-city:27/tmp-ed:37
Q31180738,세종특별자치시,Q20929,country:kr/ssg-city:50,country:kr/ssg-city:50/tmp-ed:38
Q31179607,인천광역시 계양구을,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:39
Q31179614,인천광역시 중구동구강화군옹진군,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:40
Q31179672,인천광역시 연수구을,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:41
Q31179622,인천광역시 부평구을,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:42
Q31179649,인천광역시 서구을,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:43
Q31179678,인천광역시 남동구갑,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:44
Q31179621,인천광역시 부평구갑,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:45
Q31179620,인천광역시 계양구갑,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:46
Q31179648,인천광역시 남구갑,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:47
Q31179641,인천광역시 서구갑,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:48
Q31179667,인천광역시 남동구을,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:49
Q31179652,인천광역시 남구을,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:50
Q31179673,인천광역시 연수구갑,Q20934,country:kr/met-city:28,country:kr/met-city:28/tmp-ed:51
Q50242265,경기도 고양시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:52
Q50498954,경기도 동두천시연천군,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:53
Q50498987,경기도 광주시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:54
Q50499189,경기도 여주시양평군,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:55
Q50499256,경기도 안성시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:56
Q50499399,경기도 광명시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:57
Q50499422,경기도 김포시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:58
Q50499507,경기도 오산시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:59
Q50499807,경기도 성남시분당구을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:60
Q50499960,경기도 안산시단원구을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:61
Q50500012,경기도 안산시단원구갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:62
Q50500085,경기도 광명시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:63
Q50500129,경기도 안양시동안구갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:64
Q50500194,경기도 부천시원미구갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:65
Q50500244,경기도 의정부시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:66
Q50500695,경기도 의정부시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:67
Q50500753,경기도 안양시만안구,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:68
Q50500796,경기도 부천시오정구,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:69
Q50500841,경기도 성남시분당구갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:70
Q50500923,경기도 남양주시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:71
Q50500990,경기도 의왕시과천시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:72
Q50501046,경기도 시흥시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:73
Q50501196,경기도 평택시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:74
Q50501351,경기도 안양시동안구을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:75
Q50501503,경기도 부천시원미구을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:76
Q50501656,경기도 이천시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:77
Q50501680,경기도 양주시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:78
Q50501757,경기도 군포시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:79
Q50501821,경기도 화성시병,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:80
Q50501917,경기도 성남시중원구,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:81
Q50502057,경기도 수원시정,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:82
Q50502084,경기도 용인시병,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:83
Q50502229,경기도 수원시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:84
Q50502426,경기도 파주시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:85
Q50502538,경기도 화성시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:86
Q50502759,경기도 고양시병,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:87
Q50502782,경기도 광주시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:88
Q50502834,경기도 성남시수정구,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:89
Q50502889,경기도 수원시병,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:90
Q50502944,경기도 김포시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:91
Q50503027,경기도 군포시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:92
Q50503071,경기도 남양주시병,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:93
Q50503150,경기도 화성시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:94
Q50503285,경기도 부천시소사구,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:95
Q50503342,경기도 안산시상록구갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:96
Q50503412,경기도 수원시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:97
Q50503439,경기도 시흥시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:98
Q50503491,경기도 남양주시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:99
Q50503543,경기도 용인시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:100
Q50503571,경기도 파주시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:101
Q50503634,경기도 용인시갑,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:102
Q50503763,경기도 고양시정,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:103
Q50504174,경기도 수원시무,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:104
Q50504204,경기도 포천시가평군,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:105
Q50504231,경기도 평택시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:106
Q50504372,경기도 용인시정,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:107
Q50504393,경기도 안산시상록구을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:108
Q50504509,경기도 고양시을,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:109
Q50609569,경기도 구리시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:110
Q50609637,경기도 하남시,Q20937,country:kr/province:41,country:kr/province:41/tmp-ed:111
Q50498937,충청북도 청주시흥덕구,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:112
Q31178536,충청북도 보은군옥천군영동군괴산군,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:113
Q50499782,충청북도 청주시청원구,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:114
Q50500267,충청북도 청주시상당구,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:115
Q50500333,충청북도 증평군진천군음성군,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:116
Q50502178,충청북도 제천시단양군,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:117
Q50502405,충청북도 청주시서원구,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:118
Q50504406,충청북도 충주시,Q41066,country:kr/province:43,country:kr/province:43/tmp-ed:119
Q50499163,충청남도 천안시갑,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:120
Q50499380,충청남도 서산시태안군,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:121
Q50499854,충청남도 천안시병,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:122
Q50501028,충청남도 당진시,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:123
Q50501135,충청남도 공주시부여군청양군,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:124
Q50502042,충청남도 보령시서천군,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:125
Q50503466,충청남도 논산시계룡시금산군,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:126
Q50503518,충청남도 천안시을,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:127
Q50504061,충청남도 아산시갑,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:128
Q50504438,충청남도 홍성군예산군,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:129
Q50504582,충청남도 아산시을,Q41070,country:kr/province:44,country:kr/province:44/tmp-ed:130
Q50499112,강원도 강릉시,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:131
Q50499237,강원도 속초시고성군양양군,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:132
Q50500286,강원도 원주시갑,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:133
Q50500573,강원도 태백시횡성군영월군평창군정선군,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:134
Q50501423,강원도 동해시삼척시,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:135
Q50502150,강원도 원주시을,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:136
Q50503392,강원도 홍천군철원군화천군양구군인제군,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:137
Q50504296,강원도 춘천시,Q41071,country:kr/province:42,country:kr/province:42/tmp-ed:138
Q31179698,경상남도 창원시마산회원구,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:139
Q31179682,경상남도 진주시갑,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:140
Q31179686,경상남도 창원시성산구,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:141
Q31179705,경상남도 김해시갑,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:142
Q31179704,경상남도 김해시을,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:143
Q31179691,경상남도 창원시마산합포구,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:144
Q31179700,경상남도 사천시남해군하동군,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:145
Q31179699,경상남도 통영시고성군,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:146
Q31179680,경상남도 진주시을,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:147
Q31179697,경상남도 양산시을,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:148
Q31179711,경상남도 창원시진해구,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:149
Q31179685,경상남도 밀양시의령군함안군창녕군,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:150
Q31179693,경상남도 창원시의창구,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:151
Q31179701,경상남도 양산시갑,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:152
Q31179689,경상남도 산청군함양군거창군합천군,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:153
Q31179702,경상남도 거제시,Q41151,country:kr/province:48,country:kr/province:48/tmp-ed:154
Q31179319,경상북도 포항시북구,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:155
Q50499739,경상북도 영천시청도군,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:156
Q50499910,경상북도 영양군영덕군봉화군울진군,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:157
Q50500106,경상북도 구미시을,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:158
Q31179305,경상북도 포항시남구울릉군,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:159
Q50500595,경상북도 영주시문경시예천군,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:160
Q50501067,경상북도 고령군성주군칠곡군,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:161
Q50501792,경상북도 안동시,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:162
Q50502452,경상북도 상주시군위군의성군청송군,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:163
Q50503791,경상북도 구미시갑,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:164
Q50503912,경상북도 경산시,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:165
Q31179128,경상북도 김천시,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:166
Q31179120,경상북도 경주시,Q41154,country:kr/province:47,country:kr/province:47/tmp-ed:167
Q50499094,전라북도 남원시임실군순창군,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:168
Q50499486,전라북도 익산시을,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:169
Q50499707,전라북도 익산시갑,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:170
Q50500149,전라북도 전주시갑,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:171
Q50500166,전라북도 완주군진안군무주군장수군,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:172
Q50500548,전라북도 전주시병,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:173
Q50500618,전라북도 전주시을,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:174
Q50500904,전라북도 김제시부안군,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:175
Q50502354,전라북도 군산시,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:176
Q50503717,전라북도 정읍시고창군,Q41157,country:kr/province:45,country:kr/province:45/tmp-ed:177
Q50500461,전라남도 고흥군보성군장흥군강진군,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:178
Q50500817,전라남도 목포시,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:179
Q50500884,전라남도 여수시갑,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:180
Q50501112,전라남도 영암군무안군신안군,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:181
Q50501557,전라남도 순천시,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:182
Q50501629,전라남도 담양군함평군영광군장성군,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:183
Q50502693,전라남도 여수시을,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:184
Q50503370,전라남도 나주시화순군,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:185
Q50503887,전라남도 광양시곡성군구례군,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:186
Q50504657,전라남도 해남군완도군진도군,Q41161,country:kr/province:46,country:kr/province:46/tmp-ed:187
Q31178892,제주특별자치도 제주시갑,Q41164,country:kr/ssg-province:49,country:kr/ssg-province:49/tmp-ed:188
Q31178888,제주특별자치도 제주시을,Q41164,country:kr/ssg-province:49,country:kr/ssg-province:49/tmp-ed:189
Q31178797,제주특별자치도 서귀포시,Q41164,country:kr/ssg-province:49,country:kr/ssg-province:49/tmp-ed:190
Q31179309,울산광역시 중구,Q41278,country:kr/met-city:31,country:kr/met-city:31/tmp-ed:191
Q31179314,울산광역시 울주군,Q41278,country:kr/met-city:31,country:kr/met-city:31/tmp-ed:192
Q31179339,울산광역시 남구을,Q41278,country:kr/met-city:31,country:kr/met-city:31/tmp-ed:193
Q31179331,울산광역시 남구갑,Q41278,country:kr/met-city:31,country:kr/met-city:31/tmp-ed:194
Q31179296,울산광역시 동구,Q41278,country:kr/met-city:31,country:kr/met-city:31/tmp-ed:195
Q31179312,울산광역시 북구,Q41278,country:kr/met-city:31,country:kr/met-city:31/tmp-ed:196
Q31179457,광주광역시 서구갑,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:197
Q31179408,광주광역시 동구남구갑,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:198
Q31179467,광주광역시 북구을,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:199
Q31179435,광주광역시 광산구갑,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:200
Q31179465,광주광역시 북구갑,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:201
Q31179436,광주광역시 서구을,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:202
Q31179418,광주광역시 동구남구을,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:203
Q31179431,광주광역시 광산구을,Q41283,country:kr/met-city:29,country:kr/met-city:29/tmp-ed:204
Q31180193,서울특별시 종로구,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:205
Q31180226,서울특별시 동작구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:206
Q31180334,서울특별시 강북구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:207
Q31180276,서울특별시 마포구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:208
Q31180213,서울특별시 구로구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:209
Q31180243,서울특별시 광진구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:210
Q31180290,서울특별시 서대문구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:211
Q31180212,서울특별시 금천구,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:212
Q31180365,서울특별시 중구성동구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:213
Q31180228,서울특별시 동작구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:214
Q31180342,서울특별시 성북구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:215
Q31180258,서울특별시 강서구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:216
Q31180222,서울특별시 영등포구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:217
Q31180336,서울특별시 성북구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:218
Q31180275,서울특별시 동대문구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:219
Q31180248,서울특별시 서초구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:220
Q31180280,서울특별시 노원구병,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:221
Q31180252,서울특별시 구로구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:222
Q31180265,서울특별시 노원구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:223
Q31180373,서울특별시 강남구병,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:224
Q31180200,서울특별시 송파구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:225
Q31180201,서울특별시 강동구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:226
Q31180333,서울특별시 강북구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:227
Q31180272,서울특별시 중랑구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:228
Q31180261,서울특별시 노원구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:229
Q31180210,서울특별시 양천구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:230
Q31180285,서울특별시 은평구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:231
Q31180203,서울특별시 송파구병,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:232
Q31180205,서울특별시 송파구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:233
Q31180287,서울특별시 광진구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:234
Q31180202,서울특별시 강동구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:235
Q31180215,서울특별시 영등포구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:236
Q31180220,서울특별시 서초구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:237
Q31180316,서울특별시 도봉구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:238
Q31180279,서울특별시 동대문구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:239
Q31180321,서울특별시 마포구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:240
Q31180354,서울특별시 중랑구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:241
Q31180250,서울특별시 강남구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:242
Q31180223,서울특별시 관악구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:243
Q31180356,서울특별시 중구성동구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:244
Q31180254,서울특별시 강서구병,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:245
Q31180194,서울특별시 양천구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:246
Q31180230,서울특별시 관악구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:247
Q31180266,서울특별시 서대문구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:248
Q31180291,서울특별시 은평구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:249
Q31180239,서울특별시 강남구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:250
Q31180310,서울특별시 도봉구을,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:251
Q31180240,서울특별시 강서구갑,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:252
Q31180236,서울특별시 용산구,Q8684,country:kr/special-city:11,country:kr/special-city:11/tmp-ed:253
