WIKIDATA,MS_FB_PARE,NAME_EN,NAME,MS_FB
Q41071,country:kr,Gangwon-do,강원도,country:kr/province:42
Q20937,country:kr,Gyeonggi-do,경기도,country:kr/province:41
Q41151,country:kr,Gyeongsangnam-do,경상남도,country:kr/province:48
Q41154,country:kr,Gyeongsangbuk-do,경상북도,country:kr/province:47
Q41283,country:kr,Gwangju,광주광역시,country:kr/met-city:29
Q20927,country:kr,Daegu,대구광역시,country:kr/met-city:27
Q20921,country:kr,Daejeon,대전광역시,country:kr/met-city:30
Q16520,country:kr,Busan,부산광역시,country:kr/met-city:26
Q8684,country:kr,Seoul,서울특별시,country:kr/special-city:11
Q20929,country:kr,Sejong Special Self-Governing City,세종특별자치시,country:kr/ssg-city:50
Q41278,country:kr,Ulsan,울산광역시,country:kr/met-city:31
Q20934,country:kr,Incheon,인천광역시,country:kr/met-city:28
Q41161,country:kr,Jeollanam-do,전라남도,country:kr/province:46
Q41157,country:kr,Jeollabuk-do,전라북도,country:kr/province:45
Q41164,country:kr,Jeju Special Self-Governing Province,제주특별자치도,country:kr/ssg-province:49
Q41070,country:kr,Chungcheongnam-do,충청남도,country:kr/province:44
Q41066,country:kr,Chungcheongbuk-do,충청북도,country:kr/province:43
