District,Korean,Hanja,City,Population,Area,Founded (yyyy-mm-dd),Type
Danwon-gu,단원구,檀園區,Ansan,335,849,91.23,2002-11-01,Non-autonomous
Sangnok-gu,상록구,常綠區,Ansan,380,574,57.83,2002-11-01,Non-autonomous
Dongan-gu,동안구,東安區,Anyang,353,381,21.92,1992-10-01,Non-autonomous
Manan-gu,만안구,萬安區,Anyang,265,462,36.54,1992-10-01,Non-autonomous
Buk District,북구,北區,Busan,309,602,39.44,1978-02-15,Autonomous
Busanjin District,부산진구,釜山鎭區,Busan,394,931,29.69,1957-01-01,Autonomous
Dong District,동구,東區,Busan,101,251,9.78,1957-01-01,Autonomous
Dongnae District,동래구,東萊區,Busan,282,732,16.63,1957-01-01,Autonomous
Gangseo District,강서구,江西區,Busan,62,963,180.24,1988-01-01,Autonomous
Geumjeong District,금정구,金井區,Busan,255,979,65.17,1988-01-01,Autonomous
Haeundae District,해운대구,海雲臺區,Busan,425,872,51.46,1980-01-01,Autonomous
Jung District,중구,中區,Busan,49,011,2.82,1957-01-01,Autonomous
Nam District,남구,南區,Busan,296,955,26.77,1975-10-01,Autonomous
Saha District,사하구,沙下區,Busan,357,060,40.96,1983-12-15,Autonomous
Sasang District,사상구,沙上區,Busan,256,347,36.06,1995-03-01,Autonomous
Seo District,서구,西區,Busan,124,896,13.88,1957-01-01,Autonomous
Suyeong District,수영구,水營區,Busan,177,575,10.20,1995-03-01,Autonomous
Yeongdo District,영도구,影島區,Busan,144,852,14.13,1957-01-01,Autonomous
Yeonje District,연제구,蓮堤區,Busan,214,056,12.08,1995-03-01,Autonomous
Jinhae-gu,진해구,鎭海區,Changwon,179,015,120.14,2010-07-01,Non-autonomous
Masanhappo-gu,마산합포구,馬山合浦區,Changwon,186,757,240.23,2010-07-01,Non-autonomous
Masanhoewon-gu,마산회원구,馬山會原區,Changwon,223,956,90.58,2010-07-01,Non-autonomous
Seongsan-gu,성산구,城山區,Changwon,250,103,82.09,2010-07-01,Non-autonomous
Uichang-gu,의창구,義昌區,Changwon,250,702,211.22,2010-07-01,Non-autonomous
Heungdeok-gu,흥덕구,興德區,Cheongju,256,681,198.27,1995-01-01,Non-autonomous
Sangdang-gu,상당구,上黨區,Cheongju,179,867,404.44,1995-01-01,Non-autonomous
Cheongwon-gu,청원구,淸原區,Cheongju,162,422,214.99,2014-07-01,Non-autonomous
Seowon-gu,서원구,西原區,Cheongju,228,659,114.88,2014-07-01,Non-autonomous
Dongnam-gu,동남구,東南區,Cheonan,250,906,438.52,2008-06-23,Non-autonomous
Seobuk-gu,서북구,西北區,Cheonan,315,577,197.70,2008-06-23,Non-autonomous
Jung District,중구,中區,Daegu,77,095,7.06,1963-01-01,Autonomous
Dong District,동구,東區,Daegu,341,616,182.22,1963-01-01,Autonomous
