City,Hangul,Hanja,Province,Population,(2017),Area,Founded
Sejong,세종특별자치시,世宗特別自治市,none,244,939,465.23,2012-07-01
Seogwipo,서귀포시,西歸浦市,Jeju,171,431,870.87,1981-07-01
Seongnam,성남시,城南市,Gyeonggi,974,755,141.82,1973-07-01
Seosan,서산시,瑞山市,South Chungcheong,170,810,740.66,1989-01-01
Seoul,서울특별시,서울特別市,none,9,930,478,605.27,1946-08-16
Siheung,시흥시,始興市,Gyeonggi,403,398,135.02,1989-01-01
Sokcho,속초시,束草市,Gangwon,81,797,105.00,1963-01-01
Suncheon,순천시,順天市,South Jeolla,279,540,907.41,1949-08-14
Suwon,수원시,水原市,Gyeonggi,1,194,276,121.09,1949-08-14
Taebaek,태백시,太白市,Gangwon,46,892,303.57,1981-07-01
Tongyeong,통영시,統營市,South Gyeongsang,138,001,238.85,1955-09-01
Uijeongbu,의정부시,議政府市,Gyeonggi,438,753,81.59,1963-01-01
Uiwang,의왕시,儀旺市,Gyeonggi,156,410,54.00,1989-01-01
Ulsan,울산광역시,蔚山廣域市,none,1,117,656,1057.50,1997-07-15
Wonju,원주시,原州市,Gangwon,338,374,872.56,1955-09-01
Yangju,양주시,楊州市,Gyeonggi,205,977,309.77,2003-10-19
Yangsan,양산시,梁山市,South Gyeongsang,318,836,485.18,1996-03-01
Yeoju,여주시,驪州市,Gyeonggi,111,558,608.64,2013-09-23
Yeongcheon,영천시,永川市,North Gyeongsang,100,384,920.29,1981-07-01
Yeongju,영주시,榮州市,North Gyeongsang,109,281,669.05,1980-04-01
Yeosu,여수시,麗水市,South Jeolla,288,818,501.27,1949-08-14
Yongin,용인시,龍仁市,Gyeonggi,991,622,591.36,1996-03-01
