City,Hangul,Hanja,Province,Population,(2017),Area,Founded
Andong,안동시,安東市,North Gyeongsang,168,226,1521.26,1963-01-01
Ansan,안산시,安山市,Gyeonggi,689,326,149.06,1986-01-01
Anseong,안성시,安城市,Gyeonggi,182,784,553.47,1998-04-01
Anyang,안양시,安養市,Gyeonggi,598,392,58.46,1973-07-01
Asan,아산시,牙山市,South Chungcheong,303,043,542.15,1986-01-01
Boryeong,보령시,保寧市,South Chungcheong,103,620,569.01,1986-01-01
Bucheon,부천시,富川市,Gyeonggi,851,245,53.40,1973-07-01
Busan,부산광역시,釜山廣域市,none,3,496,779,765.94,1963-01-01
Changwon,창원시,昌原市,South Gyeongsang,1,063,116,736.34,1980-04-01
Cheonan,천안시,天安市,South Chungcheong,619,286,636.22,1963-01-01
Cheongju,청주시,淸州市,North Chungcheong,835,802,153.45,1949-08-15
Chuncheon,춘천시,春川市,Gangwon,280,565,1116.35,1949-08-15
Chungju,충주시,忠州市,North Chungcheong,208,288,983.70,1956-07-08
Daegu,대구광역시,大邱廣域市,none,2,484,688,885.60,1981-07-01
Daejeon,대전광역시,大田廣域市,none,1,514,354,539.86,1989-01-01
Dangjin,당진시,唐津市,South Chungcheong,166,782,694.08,2012-01-01
Dongducheon,동두천시,東豆川市,Gyeonggi,98,062,95.66,1981-07-01
Donghae,동해시,東海市,Gangwon,93,289,180.17,1980-04-01
Gangneung,강릉시,江陵市,Gangwon,213,747,1040.07,1955-09-01
Geoje,거제시,巨濟市,South Gyeongsang,256,979,401.61,1989-01-01
Gimcheon,김천시,金泉市,North Gyeongsang,142,277,1009.50,1949-08-14
Gimhae,김해시,金海市,South Gyeongsang,529,577,463.28,1981-07-01
Gimje,김제시,金堤市,North Jeolla,87,658,544.99,1989-01-01
Gimpo,김포시,金浦市,Gyeonggi,364,808,276.64,1998-04-01
Gongju,공주시,公州市,South Chungcheong,109,750,940.36,1986-01-01
Goyang,고양시,高陽市,Gyeonggi,1,040,648,267.31,1992-02-01
Gumi,구미시,龜尾市,North Gyeongsang,420,048,615.52,1978-02-15
Gunpo,군포시,軍浦市,Gyeonggi,284,735,36.36,1989-01-01
Gunsan,군산시,群山市,North Jeolla,277,328,675.38,1949-08-15
Guri,구리시,九里市,Gyeonggi,194,298,33.30,1986-01-01
Gwacheon,과천시,果川市,Gyeonggi,62,929,35.86,1986-01-01
Gwangju,광주광역시,光州廣域市,none,1,469,583,501.26,1986-11-01
Gwangju,광주시,廣州市,Gyeonggi,328,940,430.96,2001-03-21
Gwangmyeong,광명시,光明市,Gyeonggi,339,071,38.50,1981-07-01
Gwangyang,광양시,光陽市,South Jeolla,154,164,453.84,1989-01-01
Gyeongju,경주시,慶州市,North Gyeongsang,259,228,1324.39,1955-09-01
Gyeongsan,경산시,慶山市,North Gyeongsang,257,902,411.70,1989-01-01
Gyeryong,계룡시,鷄龍市,South Chungcheong,42,737,60.74,2003-09-19
Hanam,하남시,河南市,Gyeonggi,213,028,93.07,1989-01-01
Hwaseong,화성시,華城市,Gyeonggi,644,498,687.54,2001-03-21
Icheon,이천시,利川市,Gyeonggi,210,565,531.09,1996-03-01
Iksan,익산시,益山市,North Jeolla,301,061,506.70,1949-08-15
Incheon,인천광역시,仁川廣域市,none,2,944,009,1032.41,1981-07-01
Jecheon,제천시,堤川市,North Chungcheong,136,389,883.09,1980-04-01
Jeongeup,정읍시,井邑市,North Jeolla,115,083,692.93,1981-07-01
Jeonju,전주시,全州市,North Jeolla,652,234,206.22,1949-08-15
Jeju,제주시,濟州市,Jeju,470,957,977.80,1955-09-01
Jinju,진주시,晋州市,South Gyeongsang,347,056,712.62,1949-08-15
Naju,나주시,羅州市,South Jeolla,105,080,608.15,1981-07-01
Namyangju,남양주시,南楊州市,Gyeonggi,662,183,458.54,1989-01-01
Namwon,남원시,南原市,North Jeolla,84,140,752.50,1981-07-01
Nonsan,논산시,論山市,South Chungcheong,123,094,554.85,1996-03-01
Miryang,밀양시,密陽市,South Gyeongsang,108,322,799.01,1989-01-01
Mokpo,목포시,木浦市,South Jeolla,237,464,50.08,1949-08-15
Mungyeong,문경시,聞慶市,North Gyeongsang,74,555,911.17,1986-01-01
Osan,오산시,烏山市,Gyeonggi,208,873,42.76,1989-01-01
Paju,파주시,坡州市,Gyeonggi,431,035,672.57,1996-03-01
Pocheon,포천시,抱川市,Gyeonggi,154,381,826.50,2003-10-19
Pohang,포항시,浦項市,North Gyeongsang,516,497,1128.76,1949-08-14
Pyeongtaek,평택시,平澤市,Gyeonggi,472,141,454.62,1986-01-01
Sacheon,사천시,泗川市,South Gyeongsang,114,854,398.25,1956-07-08
Sangju,상주시,尙州市,North Gyeongsang,101,729,1254.83,1986-01-01
Samcheok,삼척시,三陟市,Gangwon,70,120,1185.86,1986-01-01
